,salary_in_usd,experience_level_EX,experience_level_MI,experience_level_SE,employment_type_FL,employment_type_FT,employment_type_PT,company_size_M,company_size_S,work_year_2021,work_year_2022,remote_ratio_50,remote_ratio_100,job_title_Data Engineer,job_title_Data Scientist,job_title_Machine Learning Engineer
409,101570,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
414,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
415,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
417,136000,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
418,112000,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
419,172000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
420,140000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
421,215000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
422,164000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
423,300000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
424,130000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
425,250000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
426,63000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
427,180000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
428,150000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
430,250000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
431,63000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
432,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
433,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
434,97500,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
440,151800,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
441,130240,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
444,135000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
445,115000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
446,179400,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
447,154000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
448,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
449,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
450,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
451,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
452,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
453,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
461,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
462,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
463,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
464,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
467,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
468,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
471,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
472,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
473,191475,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
474,141525,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
475,115000,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
479,46000,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
480,80000,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0
484,204100,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
485,136100,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
491,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
492,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
493,191475,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
494,141525,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
